"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3753","registerDdtShouldSucceedV2","Gradle suite","2026-04-15","passed","2026-04-15","com.parabank.parasoft.test.RegisterTest","Gradle test","com.parabank.parasoft.test.RegisterTest","registerDdtShouldSucceedV2"
"","2739","requestLoanShouldSucceed","Gradle suite","2026-04-15","broken","2026-04-15","com.parabank.parasoft.test.RequestLoanTest","Gradle test","com.parabank.parasoft.test.RequestLoanTest","requestLoanShouldSucceed"
"","3708","registerDdtShouldSucceedV2","Gradle suite","2026-04-15","passed","2026-04-15","com.parabank.parasoft.test.RegisterTest","Gradle test","com.parabank.parasoft.test.RegisterTest","registerDdtShouldSucceedV2"
"","3639","registerDdtShouldSucceedV2","Gradle suite","2026-04-15","passed","2026-04-15","com.parabank.parasoft.test.RegisterTest","Gradle test","com.parabank.parasoft.test.RegisterTest","registerDdtShouldSucceedV2"
"","840","LoginV1","Gradle suite","2026-04-15","broken","2026-04-15","com.parabank.parasoft.test.LoginTest","Gradle test","com.parabank.parasoft.test.LoginTest","LoginV1"
"","4353","registerDdtShouldSucceedV2","Gradle suite","2026-04-15","passed","2026-04-15","com.parabank.parasoft.test.RegisterTest","Gradle test","com.parabank.parasoft.test.RegisterTest","registerDdtShouldSucceedV2"
"","3537","registerShouldSucceedWithHardData","Gradle suite","2026-04-15","broken","2026-04-15","com.parabank.parasoft.test.RegisterTest","Gradle test","com.parabank.parasoft.test.RegisterTest","registerShouldSucceedWithHardData"
"","712","Login test using method chaining","Gradle suite","2026-04-15","broken","2026-04-15","com.parabank.parasoft.test.LoginTest","Gradle test","com.parabank.parasoft.test.LoginTest","LoginV2"
"","3771","registerShouldSucceedWithLoremIpsumData","Gradle suite","2026-04-15","passed","2026-04-15","com.parabank.parasoft.test.RegisterTest","Gradle test","com.parabank.parasoft.test.RegisterTest","registerShouldSucceedWithLoremIpsumData"
"","2599","openNewAccountShouldSucceedV2","Gradle suite","2026-04-15","broken","2026-04-15","com.parabank.parasoft.test.OpenNewAccountTest","Gradle test","com.parabank.parasoft.test.OpenNewAccountTest","openNewAccountShouldSucceedV2"
"","4003","registerDdtShouldSucceedV2","Gradle suite","2026-04-15","passed","2026-04-15","com.parabank.parasoft.test.RegisterTest","Gradle test","com.parabank.parasoft.test.RegisterTest","registerDdtShouldSucceedV2"
"","2637","openNewAccountShouldSucceedV1","Gradle suite","2026-04-15","broken","2026-04-15","com.parabank.parasoft.test.OpenNewAccountTest","Gradle test","com.parabank.parasoft.test.OpenNewAccountTest","openNewAccountShouldSucceedV1"
"","3622","registerDdtShouldSucceedV2","Gradle suite","2026-04-15","passed","2026-04-15","com.parabank.parasoft.test.RegisterTest","Gradle test","com.parabank.parasoft.test.RegisterTest","registerDdtShouldSucceedV2"
"","5771","registerShouldFailWithOutUsername","Gradle suite","2026-04-15","passed","2026-04-15","com.parabank.parasoft.test.RegisterTest","Gradle test","com.parabank.parasoft.test.RegisterTest","registerShouldFailWithOutUsername"
"","14","checkTitle","Gradle suite","2026-04-15","passed","2026-04-15","com.parabank.parasoft.test.LoginTest","Gradle test","com.parabank.parasoft.test.LoginTest","checkTitle"
